impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-116854,A584050,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584050,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Celeste,Cat,2 YEARS,Spayed Female,Domestic Longhair,Black,5/1/19 0:00,Received on,23800 110TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584050,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 23800 110TH AVE SE, KENT WA 98031<p/> Description: Black Spayed Female Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116859,A584055,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,4 YEARS,Unaltered,Domestic Shorthair,Black,5/1/19 0:00,Received on,24000 36TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-01<p/> Found Near: 24000 36TH AVE S, KENT WA 98032<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: 4 YEARS<p/>",
K19-116887,A584139,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584139,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sydney,Dog,2 YEARS,Spayed Female,American Staffordshire / Mix,Brown / White,5/2/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584139,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Brown / White<p/>  Spayed Female American Staffordshire / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi, my name is Sydney!<p/><p/>I came to the shelter on 5/2/19.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children.<p/><p/>Come meet me today!<p/>",BLUE
K19-116886,A480900,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A480900,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chester,Cat,13 YEARS 6 MONTHS,Neutered Male,Domestic Shorthair,Org Tabby / White,5/2/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A480900,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 13 YEARS 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Chester and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/2/19 because I did not get along with baby in the house. I lived in a home with cats and young children but I did not get along with them. My previous owner described me as "" every stranger is a friend he just hasn't met yet"". And "" he is like a dog and licks and nibbles on everything""<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I am an affectionate lovebug but I can also be an independent kitty who likes to do my own thing! If we can find the right balance between the two we will get along just fine.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>Because of my nature, I would do best in an adult.<p/>",
K19-116887,A584139,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584139,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sydney,Dog,2 YEARS,Spayed Female,American Staffordshire / Mix,Brown / White,5/2/19 0:00,Received on,28600 137TH AVE SE,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584139,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Found Near: 28600 137TH AVE SE, KENT WA 98042<p/> Description: Brown / White Spayed Female American Staffordshire / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116903,A584184,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584184,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buckaroo,Cat,11 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,5/3/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584184,Image Copyright HLP Inc. 2019,"Received on: 2019-05-03<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 11 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Buckaroo and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/3/19 because they were moving. I lived in a home with another cat. <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-116900,A536164,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A536164,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ella,Dog,4 YEARS,Spayed Female,Labrador Retriever / Australian Shepherd,Chocolate / White,5/3/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A536164,Image Copyright HLP Inc. 2019,"Received on: 2019-05-03<p/> Description: Chocolate / White<p/>  Spayed Female Labrador Retriever / Australian Shepherd Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ella and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 3, 2019 because they were moving to an apartment and knew I would not thrive there. I lived in a home with small children. My previous owner described me as outgoing and energetic.<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to ""sit"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.I do have a tendancy to be jumpy so I would do best in a home with children who are okay with that and family members who can help train me to learn my manners!<p/><p/> My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K19-116924,A584221,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584221,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ivan,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Black / White,5/4/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584221,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ivan and I am available for adoption.<p/><p/>I was brought in by a good samaritan on May 4th, 2019.<p/><p/>I'm a very active guy who likes to keep busy! I would love to find a home with an equally active and social family. I love enrichment and I am quite smart, figuring out puzzles with my food is very fun for me! I'm not a big snuggly guy, I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K19-116917,A562909,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A562909,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Trixee,Dog,5 YEARS 10 MONTHS,Spayed Female,Shih Tzu / Miniature Schnauzer,Black / White,5/4/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A562909,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Description: Black / White<p/>  Spayed Female Shih Tzu / Miniature Schnauzer Dog<p/> Age: 5 YEARS 10 MONTHS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Trixie and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/4/19 because they are unable to care for me.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/><p/>",GREEN
K19-116924,A584221,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584221,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ivan,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Black / White,5/4/19 0:00,Received on,18000 NE 99TH CT,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584221,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 18000 NE 99TH CT, REDMOND WA 98052<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K19-116919,A584217,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby,5/4/19 0:00,Received on,39900 SE 53RD ST,SNOQUALMIE,WA,98065,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584217,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 39900 SE 53RD ST, SNOQUALMIE WA 98065<p/> Description: Gray Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116921,A584219,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby,5/4/19 0:00,Received on,39900 SE 53RD ST,SNOQUALMIE,WA,98065,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584219,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 39900 SE 53RD ST, SNOQUALMIE WA 98065<p/> Description: Gray Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116922,A584220,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby,5/4/19 0:00,Received on,39900 SE 53RD ST,SNOQUALMIE,WA,98065,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584220,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 39900 SE 53RD ST, SNOQUALMIE WA 98065<p/> Description: Gray Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116920,A584218,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby,5/4/19 0:00,Received on,39900 SE 53RD ST,SNOQUALMIE,WA,98065,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584218,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 39900 SE 53RD ST, SNOQUALMIE WA 98065<p/> Description: Gray Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116926,A584222,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,4 YEARS,Unaltered,Domestic Shorthair,Brn Tabby,5/4/19 0:00,Received on,6400 S 236TH PL,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-04<p/> Found Near: 6400 S 236TH PL, KENT WA 98032<p/> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p/> Age: 4 YEARS<p/>",
K19-116932,A584257,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Unaltered,Crow,Black,5/5/19 0:00,Received on,11700 157TH AVE NE,REDMOND,WA,98052,REDMOND,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 11700 157TH AVE NE, REDMOND WA 98052<p/> Description: Black Unaltered Crow Bird<p/> Age: NO AGE<p/>",
K19-116942,A584265,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584265,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gunner,Dog,NO AGE,Male,Chihuahua - Smooth Coated,Tan,5/5/19 0:00,Received on,400 SOUTH FORK AVE SW,NORTH BEND,WA,98045,NORTH BEND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584265,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 400 SOUTH FORK AVE SW, NORTH BEND WA 98045<p/> Description: Tan Male Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116963,A584316,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Louie,Cat,7 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/6/19 0:00,Received on,11000 SE 319TH CT AUBURN,,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584316,Image Copyright HLP Inc. 2019,"Received on: 2019-05-06<p/> Found Near: 11000 SE 319TH CT AUBURN, WA 98092<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116983,A584412,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584412,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Reggie,Dog,4 YEARS,Neutered Male,Pit Bull,Tan,5/7/19 0:00,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584412,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Tan Neutered Male Pit Bull Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116992,A584443,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Mediumhair,Brn Tabby,5/7/19 0:00,Received on,22100 109TH PL SE,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 22100 109TH PL SE, KENT WA 98031<p/> Description: Brn Tabby Unaltered Domestic Mediumhair Cat<p/> Age: NO AGE<p/>",
K19-116990,A556175,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Odin,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,5/7/19 0:00,Received on,30000 45TH PL S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A556175,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 30000 45TH PL S, AUBURN WA 98001<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116985,A584415,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Longhair,Black / White,5/7/19 0:00,Received on,5200 S 212TH ST,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 5200 S 212TH ST, KENT WA 98032<p/> Description: Black / White Unaltered Domestic Longhair Cat<p/> Age: NO AGE<p/>",
K19-116998,A584451,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584451,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Karla,Dog,4 YEARS,Spayed Female,St Bernard - Smooth Coated / Mix,White / Tan,5/7/19 0:00,Received on,900 130TH AVE NE,BELLEVUE,WA,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584451,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 900 130TH AVE NE, BELLEVUE WA 98005<p/> Description: White / Tan Spayed Female St Bernard - Smooth Coated / Mix Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-117014,A584497,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584497,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlene,Cat,6 MONTHS,Spayed Female,Domestic Longhair,Black / White,5/8/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584497,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Description: Black / White<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Charlene and I am available for adoption.<p/><p/>I was brought in by a good samaritan on May 8, 2019. <p/><p/>Hi there, I'm what you would call an undersocialized kitten. It doesn't mean anything bad it just means when I was wee little one, I was not taught about how nice and awesome people can be to me. I'm very scared at first but once you take the time to show me I can trust you, I will melt in your arms. Although, I'm a fearful kitty, I actually really love to snuggle and purr! I would love to go to a home with one of my siblings or with a younger, confident kitty friend! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-117022,A584518,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584518,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Oscar,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Gray,5/8/19 0:00,Received on,12100 SE 84TH PL,NEWCASTLE,WA,98056,NEWCASTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584518,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 12100 SE 84TH PL, NEWCASTLE WA 98056<p/> Description: Gray Neutered Male Domestic Shorthair Cat<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117014,A584497,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584497,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlene,Cat,6 MONTHS,Spayed Female,Domestic Longhair,Black / White,5/8/19 0:00,Received on,14900 SE 270TH PL,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584497,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 14900 SE 270TH PL, KENT WA 98042<p/> Description: Black / White Spayed Female Domestic Longhair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-117024,A584524,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Male,Domestic Shorthair,Black / White,5/8/19 0:00,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584524,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117025,A584525,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Female,Domestic Shorthair,Brn Tabby / White,5/8/19 0:00,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584525,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117027,A584530,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/8/19 0:00,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584530,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117026,A584527,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,2 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/8/19 0:00,Received on,1600 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584527,Image Copyright HLP Inc. 2019,"Received on: 2019-05-08<p/> Found Near: 1600 S 96TH ST, SEATTLE WA 98108<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 2 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117048,A584603,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Benji,Dog,3 YEARS 3 MONTHS,Neutered Male,Chihuahua - Smooth Coated / Mix,Tan,5/9/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584603,Image Copyright HLP Inc. 2019,"Received on: 2019-05-09<p/> Description: Tan Neutered Male Chihuahua - Smooth Coated / Mix Dog<p/> Age: 3 YEARS 3 MONTHS<p/> Adoption Fee: $125.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Benji and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 9, 2019 because they worked long hours and did not have the time to care for them. I lived in a home with Kingston (A458881 mini poodle). My previous owner described me as a friendly and playful. I was blinded when I was 6 months old and having Kingston helps me navigate my world. I am bonded with my friend Kingston. This means that we must be adopted together to the same home. Our combined adoption fee is $250.<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to ""sit"" and ""come"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN.  I am a gentle and loving dog who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up, but I am outgoing and carefree once I get to know you.  I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K19-117047,A458881,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kingston,Dog,6 YEARS 3 MONTHS,Neutered Male,Toy Poodle,Tan,5/9/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A458881,Image Copyright HLP Inc. 2019,"Received on: 2019-05-09<p/> Description: Tan Neutered Male Toy Poodle Dog<p/> Age: 6 YEARS 3 MONTHS<p/> Adoption Fee: $125.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Kingston and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 9, 2019 because they worked long hours and did not have the time to care for them. I lived in a home with Benji (A584603 a chihuahua mix). My previous owner described me as a friendly and playful lovebug. My buddy Benji is blind and he listens for me to help navigate around his environment. I am bonded with my friend Benji. This means that we must be adopted together to the same home. Our combined adoption fee is $250.<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to ""sit"", ""stay"", ""come"", and ""down"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K19-117043,A584597,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584597,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Curzon,Cat,3 YEARS,Spayed Female,Domestic Mediumhair,Black / White,5/9/19 0:00,Received on,11900 SE 212TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584597,Image Copyright HLP Inc. 2019,"Received on: 2019-05-09<p/> Found Near: 11900 SE 212TH PL, KENT WA 98031<p/> Description: Black / White Spayed Female Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
